NC_003552	4343902	100.00	95	0	0	479	573	1	95	2e-42	176
NC_003901	206978	100.00	94	0	0	476	569	1	94	8e-42	174
NC_007355	206978	100.00	94	0	0	479	572	1	94	8e-42	174
NC_007681	152466	98.00	100	2	0	482	581	1	100	8e-42	174
NC_009464	233066	97.44	117	3	0	479	595	1	117	1e-49	200
NC_009515	849440	100.00	140	0	0	478	617	1	140	2e-67	259
NC_009712	New.5.CleanUp.ReferenceOTU93334	97.58	124	3	0	495	618	27	150	2e-53	213
NC_011832	549891	100.00	80	0	0	468	547	1	80	5e-34	148
NC_012632	1132905	97.03	101	3	0	846	946	101	1	1e-40	171
NC_012726	1132905	97.03	101	3	0	846	946	101	1	1e-40	171
NC_013967	616997	97.56	82	2	0	472	553	1	82	8e-32	141
NC_014002	2940299	97.33	150	4	0	474	623	1	150	3e-66	255
NC_015216	New.5.CleanUp.ReferenceOTU284098	100.00	123	0	0	508	630	28	150	6e-58	228
NC_015676	New.36.CleanUp.ReferenceOTU938882	97.30	74	2	0	503	576	27	100	2e-27	126
NC_017034	254640	98.98	98	1	0	472	569	1	98	2e-42	176
NC_017275	1132905	97.03	101	3	0	846	946	101	1	1e-40	171
NC_017276	1132905	97.03	101	3	0	846	946	101	1	1e-40	171
NC_018876	2940299	97.33	150	4	0	473	622	1	150	3e-66	255
NC_021058	1132905	97.03	101	3	0	846	946	101	1	1e-40	171
NC_000913	141145	100.00	150	0	0	534	683	1	150	6e-73	278
NC_000963	112194	99.33	150	1	0	500	649	1	150	3e-71	272
NC_000964	4441266	100.00	150	0	0	543	692	1	150	6e-73	278
NC_001263	786067	98.00	100	2	0	502	601	1	100	8e-42	174
NC_002516	827497	98.00	150	3	0	528	677	1	150	6e-68	261
NC_002570	1125065	98.57	140	2	0	541	680	1	140	5e-64	248
NC_002678	513360	98.00	150	3	0	474	623	1	150	6e-68	261
NC_002927	4483058	100.00	150	0	0	535	684	1	150	6e-73	278
NC_002936	29714	100.00	100	0	0	495	594	1	100	4e-45	185
NC_002937	1720567	100.00	133	0	0	531	663	1	133	2e-63	246
NC_002939	2654188	97.97	148	3	0	544	691	1	148	8e-67	257
NC_002944	264791	98.67	150	2	0	523	672	1	150	1e-69	267
NC_002971	New.13.CleanUp.ReferenceOTU30545	97.30	148	4	0	532	679	3	150	3e-65	252
NC_003030	1055222	100.00	100	0	0	500	599	1	100	4e-45	185
NC_003062	4045633	98.67	150	2	0	471	620	1	150	1e-69	267
NC_003155	77193	98.64	147	2	0	508	654	1	147	6e-68	261
NC_003197	676211	99.33	150	1	0	524	673	1	150	3e-71	272
NC_003272	New.59.CleanUp.ReferenceOTU220271	97.58	124	3	0	479	602	1	124	2e-53	213
NC_003295	651436	99.33	150	1	0	537	686	1	150	3e-71	272
NC_003366	4448928	99.34	152	1	0	512	663	1	152	2e-72	276
NC_003902	780788	98.59	142	2	0	536	677	1	142	4e-65	252
NC_003909	1532107	100.00	150	0	0	545	694	1	150	6e-73	278
NC_003997	1532107	100.00	150	0	0	516	665	1	150	6e-73	278
NC_004129	2534143	100.00	150	0	0	530	679	1	150	6e-73	278
NC_004347	829702	98.00	150	3	0	525	674	1	150	6e-68	261
NC_004369	650171	99.33	150	1	0	510	659	1	150	3e-71	272
NC_004463	245495	98.68	151	2	0	480	630	1	151	3e-70	268
NC_004547	555725	97.33	150	4	0	538	687	1	150	3e-66	255
